Headline,Link,Summary
The Pompidou Centre closes: Modernising modern art's Parisian HQ,https://www.france24.com/en/tv-shows/france-in-focus/20250918-the-pompidou-centre-closes-modernising-modern-art-s-parisian-hq,"The Pompidou Centre in Paris will close its doors on September 22, 2025, for five years of renovations set to transform the landmark. While the closure will leave a noticeable gap in the Beaubourg neighbourhood, masterpieces from Europe’s largest modern art collection will continue to be exhibited across France and abroad through temporary shows and loans."
"'Israel sufficiently weakened Hamas to stop war, free hostages and allow for reconstruction of Gaza'",https://www.france24.com/en/video/20250918-israel-sufficiently-weakened-hamas-to-stop-war-free-hostages-allow-for-reconstruction-of-gaza,"Israel is urging European Commission President Ursula von der Leyen to withdraw a proposal that would curb trade ties in a bid to pressure Israel to end the war in Gaza. The EU executive also plans to propose sanctions against ""extremist ministers"" and ""violent settlers"". For in-depth analysis and a deeper perspective, François Picard welcomes Dr. Zvi Eckstein, Israeli Economist, Head of the Aaron Economic Policy Institute at Reichman University."
"In Benin, tech entrepreneurs tackle pineapple waste",https://www.france24.com/en/video/20250918-in-benin-tech-entrepreneurs-tackle-pineapple-waste,"Benin ranks among Africa’s top pineapple producers, yet in parts of the continent up to 40% of crops are lost due to issues like transport delays and inadequate storage facilities. This thorny problem has caught the attention of local tech entrepreneurs, who have already achieved some impressive results with their innovative solutions."
M23 control in Goma disrupts schools as fees return,https://www.france24.com/en/video/20250918-m23-control-in-goma-disrupts-schools-as-fees-return,"In Goma, DR Congo, schools that were previously free are seeing fees reinstated under M23 control, while teachers are no longer receiving salaries from the state. This has left parents and educators concerned about access to education, even as a Qatari-brokered peace deal is set to address the broader conflict in the region."
Zelensky visits troops on frontline positions in eastern Ukraine,https://www.france24.com/en/europe/20250918-zelensky-visits-troops-on-frontline-positions-in-eastern-ukraine,"Ukrainian President Volodymyr Zelensky announced on Thursday that he visited troops in the Ukraine's frontline Donetsk region, where Ukrainian forces are resisting multiple Russian offensives. ""Step-by-step, the warriors are liberating our land: since the start of the operation, 160 square kilometres (62 square miles) and seven settlements have been reclaimed,"" Zelensky said in a post on X."
Karina Villa: Illinois senator stands up to ICE,https://www.france24.com/en/video/20250918-karina-villa-illinois-senator-stands-up-to-ice,Illinois state senator Karina Villa confronted Immigration and Customs Enforcement agents in a Chicago suburb. US authorities confirmed that operations targeting undocumented migrants began in the city the following day.
"French films tackle AI, nuclear science and the 'it' couple of 1960s cinema",https://www.france24.com/en/tv-shows/arts24/20250918-french-films-tackle-ai-nuclear-science-and-the-it-couple-of-1960s-cinema,"French pop star Mylène Farmer makes a rare appearance as the voice of an AI-powered virtual assistant in ""Dalloway"", which deals with some of the darker sides of creativity in Yann Gozlan's latest film. Manon Kerjean, the founder of Lost in Translation, a film club screening French features in Paris for non-French speakers, joins us to discuss the merits of this ""Black Mirror""-adjacent movie. We also discuss Pierre Schoeller's psychological thriller ""Rembrandt"" and reflect on the complexities at the centre of the troubled relationship between Yves Montand and Simone Signoret, as the actress and singer's lives are examined by Diane Kurys in ""C'est Si Bon"". And Manon flags up a Maurice Pialat retrospective at the Cinémathèque Française that provides an insight into the iconoclastic French filmmaker."
Day of strike in France over proposed budget cuts,https://www.france24.com/en/video/20250918-day-of-strike-in-france-over-proposed-budget-cuts,"France sees nationwide protests and transport strikes as citizens challenge the government’s proposed cuts to public services. In Paris, demonstrations disrupt the Metro and slow traffic across the country, with hundreds of thousands of people taking part. Those interviewed say they want the new government to listen to their concerns about rising poverty, inequality, and the struggles of low-paid workers, as FRANCE 24's James André explains."
US immigration judge orders expulsion of pro-Palestinian student Mahmoud Khalil,https://www.france24.com/en/video/20250918-us-immigration-judge-orders-expulsion-of-pro-palestinian-student-mahmoud-khalil,"A US judge orders the deportation of Mahmoud Khalil, a pro-Palestinian activist and legal US resident. Khalil gained national attention during protests at Columbia University last year, spending over 100 days in jail. Solange Mougin reports on the case."
Israel bombs Gaza City as hospitals are pushed to the 'brink of collapse',https://www.france24.com/en/middle-east/20250918-israel-bombs-gaza-city-as-hospitals-are-pushed-to-the-brink-of-collapse,"The Israeli military pounded Gaza City using warplanes and tanks on Thursday, pushing yet more residents to flee the enclave's largest city. As a result of Israel intensifying its military operations, hospitals in Gaza are now ""on the brink of collapse"", the World Health Organization warned."
